ObsID,National_Station_Identifier,StationName,Provider ID,Country code,StationLon,StationLat,Height,DrainingArea.km2.Provider,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,FixedRepPoint,LSFCalib,HasWL,HasD,Alive,HasRTWL,HasRTD,HasHWL,HasHD,Exclude,EC_calib,CAL_TYPE,ModelFile,MdlStep,version__origin__name,version__version,station_id,drainage_area,lon_provided,lat_provided,drainage_area_provided,to_calibrate,valid_for_origin,legend,comments
1,10062000,Schwabelweis,1004,DE,12.13873,49.023585,324.49,35399,Danube,Danube,Danube,-,35439.5,12.14167,49.025,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_1.pickle,6,EFAS,17,1,,,,,,,,
2,10088003,Hofkirchen,1004,DE,13.115212,48.676627,299.6,47496,Danube,Danube,Danube,C059,47585.7,13.10833,48.675,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_2.pickle,6,EFAS,17,2,,,,,,,,
3,10078000,Pfelling,1004,DE,12.747379,48.879843,310.25,37687,Danube,Danube,Danube,C362,37764.2,12.75833,48.875,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_3.pickle,6,EFAS,17,3,,,,,,,,
4,502070,Barby,1004,DE,11.882244,51.984836,46.11,94060,Elbe,Elbe,Elbe,C348,93702.5,11.89167,51.99167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_4.pickle,6,EFAS,17,4,,,,,,,,
5,501420,Wittenberg / Lutherstadt,1004,DE,12.646309,51.856531,62.44,61879,Elbe,Elbe,Elbe,C164,60768,12.64167,51.85833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_5.pickle,6,EFAS,17,5,,,,,,,,
6,596390,Malliss OP,1004,DE,11.345254,53.190627,19.75,2879,Muritz-Elde,Elbe,Elbe,C558,2935.1,11.34167,53.19167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_6.pickle,6,EFAS,17,6,,,,,,,,
7,5910010,Schnackenburg,1004,DE,11.569159,53.038253,13.7,125482,Elbe,Elbe,Elbe,-,123010.6,11.575,53.04167,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,7,,,,,,,,
8,582670,Grosse Traenke Wehr UP,1004,DE,13.996386,52.369055,34.8,6170.92,Muggelspree,Elbe,Elbe,-,5971.3,13.99167,52.375,FALSE,FALSE,TRUE,FALSE,1,0,1,1,1,1,1,0,0,,ID_8.pickle,6,EFAS,17,8,,,,,,,,
9,580650,Rathenow UP,1004,DE,12.321014,52.607446,24.52,19288.46,Lower Havel,Elbe,Elbe,C351,18002.4,12.325,52.60833,FALSE,FALSE,TRUE,TRUE,1,0,1,1,0,1,1,0,1,24,ID_9.pickle,24,EFAS,17,9,,,,,,,,
10,596080,Plau OP,1004,DE,12.259913,53.456704,60.16,1230,Muritz-Elde,Elbe,Elbe,-,1239.4,12.25833,53.45833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_10.pickle,6,EFAS,17,10,,,,,,,,
11,570940,Calbe Grizehne,1004,DE,11.812211,51.916414,49.36,23719,Saale,Elbe,Elbe,C169,23685.8,11.80833,51.90833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_11.pickle,6,EFAS,17,11,,,,,,,,
12,502350,Tangermuende,1004,DE,11.978054,52.541308,27.56,97780,Elbe,Elbe,Elbe,C170,97792.8,11.975,52.54167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_12.pickle,6,EFAS,17,12,,,,,,,,
13,570910,Bernburg UP,1004,DE,11.73542,51.796794,55.11,19660,Saale,Elbe,Elbe,-,19613.8,11.74167,51.79167,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_13.pickle,6,EFAS,17,13,,,,,,,,
14,503050,Wittenberge,1004,DE,11.759441,52.985531,16.72,123532,Elbe,Elbe,Elbe,C171,122857.2,11.75833,52.99167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_14.pickle,6,EFAS,17,14,,,,,,,,
15,502010,Aken,1004,DE,12.058857,51.857869,50.2,70093,Elbe,Elbe,Elbe,C349,69041.1,12.05833,51.85833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_15.pickle,6,EFAS,17,15,,,,,,,,
16,502180,Magdeburg-Strombruecke,1004,DE,11.644332,52.1297,39.88,94942,Elbe,Elbe,Elbe,-,94197,11.65833,52.125,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_16.pickle,6,EFAS,17,16,,,,,,,,
17,580790,Havelberg Stadt,1004,DE,12.07804,52.824075,21.57,23858,Lower Havel waterway,Elbe,Elbe,-,23533.1,12.075,52.825,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_17.pickle,6,EFAS,17,17,,,,,,,,
18,570810,Halle-Trotha UP,1004,DE,11.954551,51.514254,69.34,17988,Saale,Elbe,Elbe,C350,17925.7,11.95833,51.50833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_18.pickle,6,EFAS,17,18,,,,,,,,
19,5930010,Neu Darchau,1004,DE,10.8888,53.232262,5.68,131950,Elbe,Elbe,Elbe,C172,131250.1,10.875,53.24167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_19.pickle,6,EFAS,17,19,,,,,,,,
20,603130,Schwedt-Oderbruecke,1004,DE,14.311627,53.035578,-4.99,112950,Oder,Oder,Oder,-,112705.2,14.30833,53.04167,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,20,,,,,,,,
21,603000,Eisenhuettenstadt,1004,DE,14.68796545,52.15332098,25.17,52033,Oder,Oder,Oder,C365,52124.8,14.69167,52.15833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_21.pickle,6,EFAS,17,21,,,,,,,,
22,603050,Kienitz,1004,DE,14.433228,52.679839,5.2,109093,Oder,Oder,Oder,-,109685.1,14.44167,52.675,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,22,,,,,,,,
23,603031,Frankfurt (Oder),1004,DE,14.551714,52.357808,17.19,53580,Oder,Oder,Oder,-,53690.4,14.55833,52.35833,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,23,,,,,,,,
24,603100,Stuetzkow,1004,DE,14.19335,52.983722,-5,112143,Oder,Oder,Oder,-,112545.3,14.19167,52.975,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,24,,,,,,,,
25,603040,Kietz,1004,DE,14.630298,52.577597,8.69,53752,Oder,Oder,Oder,-,54111,14.625,52.575,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,25,,,,,,,,
26,603080,Hohensaaten-Finow,1004,DE,14.141123,52.864739,0.16,109564,Oder,Oder,Oder,C178,111349.4,14.14167,52.85833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_26.pickle,6,EFAS,17,26,,,,,,,,
27,25800200,Leun (Neu),1004,DE,8.355275,50.545134,135,3571,Lahn,Rhine,Rhine,C338,3559.9,8.35833,50.54167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_27.pickle,6,EFAS,17,27,,,,,,,,
28,23700200,Maxau,1004,DE,8.305614,49.038957,97.79,50196,Rhine,Rhine,Rhine,-,50539.5,8.30833,49.04167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_28.pickle,6,EFAS,17,28,,,,,,,,
29,24900108,Raunheim,1004,DE,8.44832,50.01613,82.9,27142,Main,Rhine,Rhine,-,27128.7,8.44167,50.00833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_29.pickle,6,EFAS,17,29,,,,,,,,
30,23500700,Plittersdorf,1004,DE,8.135974,48.885937,106.76,48276,Rhine,Rhine,Rhine,-,48496.1,8.14167,48.89167,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_30.pickle,6,EFAS,17,30,,,,,,,,
31,24700404,Frankfurt-Osthafen,1004,DE,8.715027,50.105711,90.64,24764,Main,Rhine,Rhine,C211,24783,8.70833,50.10833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_31.pickle,6,EFAS,17,31,,,,,,,,
32,26100100,Perl,1004,DE,6.369075,49.472537,138.5,11522,Moselle,Rhine,Rhine,C207,11483.9,6.375,49.475,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_32.pickle,6,EFAS,17,32,,,,,,,,
33,23800100,Plochingen,1004,DE,9.419239,48.707411,245.9,3995,Neckar,Rhine,Rhine,C342,3980.4,9.425,48.70833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_33.pickle,6,EFAS,17,33,,,,,,,,
34,24300304,Schweinfurt Neuer Hafen,1004,DE,10.22074462,50.03118261,204.04,12715,Main,Rhine,Rhine,-,12723.7,10.225,50.025,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_34.pickle,6,EFAS,17,34,,,,,,,,
35,24700200,Kleinheubach,1004,DE,9.233046,49.713596,119.62,21505,Main,Rhine,Rhine,C335,21523.9,9.24167,49.70833,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_35.pickle,6,EFAS,17,35,,,,,,,,
